id,name,latitude,longitude
252,Шоколад,56.8491754,60.5653788
253,Шашлычная,56.7724037,60.5888413
254,Карасики,56.8499199,60.6840647
255,Вилка-ложка,56.8875518,60.6147544
256,Рататуй,56.8986828,60.5926209
257,Суширолла,56.7895196,60.5160131
258,Prime Time,56.8194242,60.6503824
259,Пятница,56.82276,60.6518233
260,Солянка,56.8206763,60.650311
261,Дом хлеба,56.8312873,60.546055
262,Столовая,56.796131,60.4863976
263,Бриз,56.7670465,60.7100947
264,Фазан,56.8468247,60.5590822
265,Полиарти,56.8481553,60.6151718
266,СушиВок,56.8529754,60.6452177
267,Engels,56.8335647,60.5919491
268,Поль Бейкери,56.7933597,60.5203579
269,Дом татарской кулинарии,56.7931023,60.5197586
270,Panda Coffee,56.8396161,60.6108475
271,100 хлебов,56.8371173,60.5820452
272,Счастье есть,56.8442837,60.6170445
273,BoomDonuts,56.8340687,60.5845689
274,Кондитерская,56.8331565,60.5679578
275,ChocolaVie,56.8333763,60.5868898
276,Shашлык,56.851688,60.5570445
277,Штолле,56.8545305,60.5568729
278,Белая ворона,56.8463859,60.5572333
279,Кулинария,56.8635659,60.5766434
280,Скороед,56.845805,60.6448763
281,Дом пекаря,56.8843021,60.5691021
282,Даришка,56.8983771,60.6085939
283,Паровоз,56.8113369,60.7280831
284,Чилим,56.8363646,60.6246971
285,Арт-клуб Green Time,56.8397061,60.6371157
286,Япона мама,56.8956788,60.6050928
287,Вкусняшки,56.75656,60.7568389
288,Рада,56.8368958,60.5944077
289,Детское кафе,56.8445656,60.5921397
290,кафе НЭП,56.8981866,60.6288886
291,лакмусс,56.8393011,60.6182921
292,Столовая Палитра Вкуса,56.8277065,60.6241333
293,Хлебница,56.9060067,60.6130992
294,Кулинария,56.8300233,60.565234
295,Буфет и Пекарня,56.8385914,60.5948701
296,Gudmen coffee,56.793516,60.5212842
297,Simple Coffee,56.8392543,60.6149095
298,Лакомка,56.8319732,60.5455969
299,Штолле,56.8432305,60.6438255
300,Рахат,56.8429867,60.6417451
301,Папа Джонс,56.8319821,60.5672339
302,Подсолнухи,56.8336772,60.5944205
303,Всё пучком,56.8262494,60.6231949
304,К чаю,56.828873,60.5451725
305,Рахат,56.8297307,60.5451618
306,Кондитерская,56.8873393,60.6155245
307,Добрый хлеб,56.7891744,60.5182827
308,Чебуречная mr.CHE,56.8394515,60.6104999
309,Works,56.8375131,60.6090418
310,Пан Гурман,56.7899061,60.517031
311,Admiral,56.8501779,60.5931033
312,Алёнка,56.8424967,60.6435077
313,Алёнка,56.8386301,60.6093279
314,Melange,56.8276957,60.6016392
315,Make love,56.7933222,60.5204283
316,Ароматная чашка,56.841728,60.6368783
317,Ben Hall Pub,56.8260132,60.612174
318,Пекарня Хлебница,56.8569117,60.6034839
319,Мякушка,56.7861112,60.524946
320,Хлебница,56.8880605,60.6103827
321,Китайская лиса,56.83727,60.6081917
322,Пекарня,56.8010485,60.6290023
323,Очаг,56.8225335,60.6055655
324,Хлебница,56.8843827,60.5699131
325,Соседи,56.8065442,60.6061104
326,Кофе FM,56.832323,60.5840282
327,"мейд-кафе ""Holy""",56.83235,60.5842922
328,Чайхана Кучамала,56.8986028,60.5924589
329,Лаваш,56.9253359,60.6138472
330,Французский пекарь,56.8329168,60.5889799
331,Lori,56.8099222,60.6262781
332,Авангард,56.8703449,60.651825
333,Шато Леон,56.8669964,60.6486493
334,Хлебное место,56.8326769,60.5901234
335,Хлеб,56.8818444,60.5072968
336,Суши Wok,56.8223424,60.6296682
337,Coffee street,56.7954281,60.5159182
338,Столовая,56.8579448,60.6015183
339,Сказы Бажова,56.8184243,60.6156241
340,Едатут,56.7971342,60.5300532
341,Цезарь,56.8151366,60.5870492
342,Столовая Цибус Арт,56.8153497,60.5856597
343,Олива,56.8050321,60.6306755
344,Хлебничная,56.8303856,60.5603515
345,Бисквитный Двор,56.7976686,60.6359944
346,Патриот,56.8306877,60.6087935
347,Журавли,56.9413077,60.6679094
348,Пан пицца,56.8978713,60.6029928
349,Привал,56.8300497,60.4376806
350,Хлебничная,56.8128081,60.6081336
351,Вилка-ложка,56.8448931,60.6190521
352,"""Хлебничная"" пекарня",56.8510721,60.6315538
353,Лакомка,56.870684,60.612106
354,Трактиръ,56.8345649,60.6062762
355,Поль Бейкери,56.8349809,60.6099938
356,Эйр-пай,56.7968614,60.6447592
357,Simple Coffee,56.836556,60.6223749
358,Смак,56.8538281,60.6157243
359,Большая Медведица,56.8292414,60.6117661
360,Сдобная Сказка,56.8946762,60.5875477
361,Сдобная сказка,56.90614,60.6105118
362,Хлебница,56.7926155,60.521619
363,Шампурико,56.8118192,60.5130676
364,Палитра вкуса,56.8529669,60.5977621
365,Шоколадница,56.750167,60.800781
366,Шоколадница,56.7502683,60.8037977
367,Дом Выпечки,56.8307526,60.6242819
368,Вау! Десерт,56.7844265,60.5165312
369,Антоновка,56.7847154,60.5159596
370,Чаща,56.8309866,60.6177226
371,Настоящая пекарня,56.8358208,60.5826337
372,Булочная,56.7889262,60.514902
373,Деревня «Каравай»,56.7903669,60.51402
374,Lamp House,56.8399833,60.5846584
375,doner kebab,56.7096101,60.7339185
376,Всегда Вкусно,56.8312937,60.5882882
377,Зараторт,56.8313102,60.588461
378,Круассан,56.8554486,60.6399487
379,Столовая РЖД N 16,56.8280502,60.6506981
380,Ли-ли,56.8306234,60.6105329
381,Coffe me,56.830578,60.610549
382,Три мушкетера,56.7810877,60.6811311
383,GetGoodCake,56.8445038,60.6153781
384,Дом хлеба,56.8426052,60.6173896
385,Бургеры и Креветки,56.8329889,60.5927616
386,Заимка,56.8294384,60.4388045
387,Пышка,56.8694371,60.5538221
388,Пельменная,56.857735,60.604951
389,Географ,56.8407134,60.6343653
390,Лоза,56.8253354,60.5749437
391,Ветерок,56.8407854,60.6046142
392,Баши,56.833577,60.5937263
393,Столовая на Красном,56.8503157,60.5958454
394,Ушгули,56.8271813,60.6328726
395,Coffee Like,56.822001,60.604284
396,Coffee Like,56.845234,60.650736
397,Чизкейк,56.7856246,60.5133818
398,Кофе Бранч,56.8425538,60.6129688
399,Антоновка,56.7846733,60.5160407
400,Pankoff Bakery,56.8341297,60.5982281
401,bontempi pinzeria,56.8447427,60.5906413
402,33 пингвина,56.817104,60.538235
403,33 пингвина,56.791522,60.646621
404,33 пингвина,56.8172737,60.5389541
405,33 пингвина,56.8290642,60.5984965
406,Кафе № 1,56.8662984,60.5979998
407,Sm Street Market,56.8359955,60.5964889
408,Surf Coffee,56.8359515,60.5960342
409,Хлебница,56.8370317,60.5935091
410,Папа Карло,56.8381758,60.6095566
411,Кафетерий,56.8425604,60.6323007
412,By Петровы,56.8239722,60.6194271
413,Para Coffe,56.8396187,60.6181531
414,Waffbusters,56.8247024,60.6046468
415,Хлебница,56.8410143,60.6607546
416,Французский пекарь,56.8166874,60.5359845
417,Breakfast Unit,56.834958,60.5968335
418,Бисквитный двор,56.7786223,60.7006191
419,Кофе у камина,56.8000353,60.4929918
420,Скворечник,56.8399667,60.608867
421,Горожане,56.8330335,60.6033339
422,Ланч-кафе,56.7823908,60.6491314
423,Хлеб из тандыра,56.8118468,60.6084142
424,Русский Остров,56.8406634,60.6297181
425,"Provizia, Ресторан на прилавке",56.8643217,60.6711281
426,Vietkofe,56.7733575,60.6146514
427,Cinnabon,56.834402,60.596019
428,Золотой бамбук,56.835487,60.610545
429,Старбакс,56.8284992,60.5991015
430,Безопасный кекс,56.8336178,60.5940518
431,Калач,56.7799011,60.5238497
432,Кому торт?,56.7815629,60.5207725
433,Vlorte,56.7830551,60.5189718
434,Шеф Пай,56.7831139,60.5188659
435,Жизньмарт,56.8531952,60.6432464
436,Горячий хлеб,56.8864773,60.509343
437,Есть хинкали,56.8377172,60.6001242
438,Пекарня,56.9139838,60.610916
439,Джем,56.906375,60.6296732
440,Lorenza,56.8169536,60.5385411
441,21cups,56.831557,60.567197
442,Французский Пекарь,56.8170295,60.6319303
443,Французский Пекарь,56.8371789,60.6157216
444,Французский Пекарь,56.8423607,60.6165531
445,Комунна,56.8402302,60.6244879
446,Marlerino Lounge,56.8361754,60.6094711
447,Французский Пекарь,56.8286973,60.6191146
448,Французский Пекарь,56.835446,60.5992153
449,Французский Пекарь,56.740598,60.543103
450,Violet,56.829771,60.5879326
451,Балетон,56.805096,60.5644834
452,Violet,56.8363851,60.6244066
453,Хачапурная №1,56.8412974,60.6562589
454,Кофе с собой,56.7942662,60.5070674
455,Старый Ереван,56.8443485,60.6181866
456,Кофе с собой,56.8857263,60.5934657
457,Русский хлеб,56.8855977,60.5934545
458,Simple coffee,56.8298631,60.5888677
459,Фартук,56.8418415,60.5825024
460,Pro Brunch,56.823852,60.627433
461,Вера в кофе,56.7886178,60.5171347
462,тако маго,56.8400757,60.6146589
463,Engels,56.8392344,60.6143544
464,Такие истории,56.8285957,60.6099912
465,Espresso Season,56.8363,60.6066856
466,Старбакс,56.836461,60.595371
467,Старбакс,56.8233476,60.5054908
468,Капибара,56.8426297,60.644735
469,Coffee Flower,56.8367193,60.6278712
470,Наш двор,56.7452763,60.604638
471,"Пекарня ""Хлебница""",56.8717179,60.5210026
472,Кафе Пекарня,56.8389696,60.5926846
473,Настоящая Пекарня,56.8863502,60.6154352
474,Кондитерская Омэра,56.8043642,60.6267503
475,Coffe Craft,56.7894242,60.4997751
476,Уйгурская кухня,56.788961,60.4989529
477,Kat`s,56.7888773,60.4988029
478,Папа Римский,56.8345642,60.6060944
479,Pizza Rome,56.7881193,60.5040469
480,Кондитерские изделия,56.7754569,60.5997801
481,Выпечка,56.7752674,60.5999394
482,Fat Cat,56.7467158,60.5626112
483,CoffeeUp,56.847435,60.6013489
484,Engels,56.8040132,60.6121339
485,Wolf Coffee,56.7980914,60.6334668
486,Coffee Butterfly,56.9088211,60.600338
487,Сибирский путь,56.8552786,60.6015413
488,Лесная сказка,56.9043976,60.5608414
489,TomYumBar,56.9158449,60.6138635
490,Вечер,56.8719187,60.5133845
491,Жалкин,56.7539285,60.6942509
492,Домовая кухня,56.898054,60.610374
493,Хлеб & Булки,56.9201479,60.6135631
494,Сладкая лавка,56.9010238,60.6134661
495,Пекарня & хлебница,56.902906,60.6128579
496,PERRON,56.858683,60.5989365
497,Суши маркет,56.896751,60.6058143
498,Папа Карло,56.8283517,60.5947627
499,Папа Карло,56.8360765,60.6136771
500,Папа Карло,56.8448411,60.5905236
501,Жаркие истории,56.8458405,60.6178093
502,Redis,56.8302685,60.5917031
503,Эйт,56.7950529,60.4936812
504,Coffee & Chocolate,56.8481598,60.6620216
505,"Кофе, лимонад",56.8342286,60.6816324
506,Cinnabon,56.9170351,60.6137717
507,Люблю кофе,56.8336736,60.6008854
508,Кафе 1991,56.8448493,60.5920446
509,Крошка Картошка,56.7501642,60.8016616
510,Rhino coffee,56.8458207,60.6178018
511,Cat’s Cup,56.8353976,60.6862648
512,А помнишь?,56.8373625,60.6276661
513,Семейная пекарня,56.8572628,60.6541835
514,Скороед,56.8433925,60.629565
515,Дом выпечки,56.8433153,60.6258186
516,UNION,56.8369843,60.6295886
517,Свежий хлеб,56.8868315,60.6174091
518,Неспящая сова,56.7868939,60.5060216
519,Станционный буфет,56.8172989,60.6398286
520,Вилка-ложка,56.899749,60.6131038
521,Вилка-ложка,56.8291435,60.5990732
522,Вилка-ложка,56.7798106,60.6095713
523,Вилка-ложка,56.8635473,60.6307447
524,Вилка-ложка,56.7969598,60.5789781
525,Вилка-ложка,56.7923181,60.6240016
526,Окна на Юг,56.8333836,60.591466
527,Хлеб и булки,56.8357442,60.5654828
528,Не усложняй,56.8347799,60.5686221
529,Пельменная Pelmeni Bar,56.8174851,60.6080169
530,Хинкали,56.8233703,60.6039349
531,Pho Ha Noi,56.8245554,60.6046952
532,Студенческая столовая,56.8189833,60.6057553
533,Бисквитный двор,56.8221156,60.6043882
534,Вилка-ложка,56.8365593,60.5822431
535,VIET MON,56.8334904,60.5961369
536,Maru,56.8336992,60.5976141
537,gyros,56.8335815,60.5965864
538,TomYumBar,56.8335006,60.6003522
539,50кгкостей,56.8330184,60.6004601
540,FacetoHaze,56.8321108,60.6007575
541,Котокафе Мяу,56.8171569,60.6137898
542,Хлебничная,56.8317154,60.5448075
543,Frank by Баста,56.8333917,60.596171
544,БарЗая,56.8036951,60.6127685
545,БарЗая,56.8265737,60.5891114
546,Добрый пекарь,56.8584116,60.6045926
547,Кстати,56.8365611,60.5828002
548,Zam zam,56.7758065,60.611646
549,Золотой Бамбук,56.8111174,60.6098937
550,Поль Бейкери,56.7451177,60.5631706
551,Миа,56.7836595,60.5203144
552,Поль Бейкери,56.8170956,60.6322924
553,Жизньмарт,56.8164775,60.6322584
554,Злата печка,56.8159655,60.6327362
555,Обжорка,56.8624802,60.6563188
556,Гоголь Моголь,56.7561025,60.6744478
557,Жигули,56.7498912,60.8035341
558,SOVAFriends,56.7544619,60.7033072
559,Хлеб & Булки,56.8521483,60.5764983
560,На Куски,56.8515618,60.5762905
561,Aristocrat Coffee,56.856383,60.6080889
562,Злата печка,56.8393711,60.5945015
563,Злата печка,56.8068065,60.5970504
564,Злата печка,56.8318636,60.5925894
565,Потеха,56.7980026,60.4887808
566,Поль Бейкери,56.8291625,60.5868745
567,Поль Бейкери,56.9155681,60.6138306
568,Поль Бейкери,56.826336,60.588178
569,Поль Бейкери,56.7967248,60.6122108
570,Поль Бейкери,56.8285506,60.5990731
571,Поль Бейкери,56.853086,60.5497796
572,Поль Бейкери,56.852206,60.640288
573,Поль Бейкери,56.8283891,60.594913
574,Поль Бейкери,56.7891861,60.6488979
575,Поль Бейкери,56.8160654,60.5860403
576,Поль Бейкери,56.7405684,60.542779
577,Поль Бейкери,56.812749,60.5854315
578,Поль Бейкери,56.8219474,60.6084823
579,Поль Бейкери,56.8637643,60.6312489
580,Поль Бейкери,56.8065181,60.6125604
581,Поль Бейкери,56.8345099,60.5959725
582,Поль Бейкери,56.8168802,60.5397479
583,Поль Бейкери,56.8290862,60.6724906
584,Поль Бейкери,56.7965808,60.6273919
585,Поль Бейкери,56.8637379,60.6315653
586,Провинция,56.8306612,60.5558863
587,Трапеза,56.7832378,60.5384137
588,Gagawa,56.916894,60.6137534
589,Тбилисоба,56.8363127,60.5960541
590,Вкусное место,56.8749797,60.6101606
591,Simple coffee,56.8266583,60.5969959
592,Duo,56.8266626,60.597097
593,Шампурико,56.788895,60.481654
594,Tea Funny,56.8229798,60.504491
595,Yankee Sierra,56.8368262,60.5916557
596,Свари мне кофе,56.8361295,60.6160101
597,Pinky Pop,56.8347517,60.6145137
598,Violet,56.8315074,60.6162226
599,Креветки и бургеры,56.8350716,60.6127866
600,Супра,56.8458589,60.6039976
601,Simple Coffee,56.8364037,60.5879814
602,Дунцзы,56.8358784,60.5945933
603,Алёнка,56.811953,60.6091262
604,Tea Funny,56.9167423,60.6136377
605,simple coffee,56.8302155,60.6009016
606,Fix Cafe,56.8299007,60.6009295
607,Engels,56.8431147,60.6429771
608,Engels,56.8447535,60.5923169
609,Siempre churros,56.8935325,60.616196
610,Дед Хо,56.8329738,60.5818448
611,Gudmen Coffee,56.8611695,60.6528232
612,Своя Компания,56.8259446,60.5878215
613,Aziatish BeerKitchen,56.7503052,60.8017033
614,Хлебничная,56.7790862,60.7018199
615,Drive Café,56.7568328,60.6737209
616,Gagawa,56.8289453,60.5985473
617,Мидийное место,56.8289718,60.5987029
618,Лепим и варим,56.8239877,60.5050936
619,Лепим и варим,56.829754,60.5995723
620,Винтаж,56.8124649,60.6030322
621,Вилка-ложка,56.9166925,60.6139061
622,Автограф,56.8312346,60.6035551
623,Кофе 18+,56.8321628,60.6132969
624,Кофе 18+,56.7933875,60.5202927
625,Кофе 18+,56.8529533,60.6450623
626,Кофе 18+,56.838821,60.6212286
627,Кофе 18+,56.829948,60.5664059
628,Ванлав,56.7844523,60.5164585
629,Основа кофе,56.8615744,60.6258998
630,Семейная пекарня,56.8619884,60.6331944
631,Французский Пекарь,56.8250239,60.618833
632,Французский Пекарь,56.8396276,60.5802897
633,Французский Пекарь,56.8386064,60.6090886
634,Французский Пекарь,56.8439201,60.6535835
635,Французский Пекарь,56.9168433,60.6139409
636,Французский Пекарь,56.8403743,60.6158556
637,Французский Пекарь,56.8497376,60.6567889
638,Французский Пекарь,56.8169947,60.6341189
639,SOVAFriends,56.7549293,60.7030235
640,SOVAFriends,56.7546919,60.6923443
641,Поль бейкери,56.7837584,60.5199589
642,Хлебничная,56.7882662,60.5177139
643,Vaffel,56.7854088,60.5173811
644,Big Roll,56.8152426,60.6002248
645,Вира,56.8346588,60.6849428
646,Engels,56.8281031,60.6087727
647,Чебуречная,56.8498329,60.684529
648,"Пекарня ""Хлебничная""",56.8727071,60.5254463
649,Мала цзянху,56.841485,60.6600047
650,Frank by Баста,56.8560176,60.6064735
651,Вилка-ложка,56.8385504,60.6113321
652,Кот&Кофе,56.8250284,60.5494449
653,Forum cafe.,56.8257835,60.602975
654,bakery and cheap coffee,56.8344688,60.6896391
655,Хлебничная,56.8534968,60.6438411
656,Jackie,56.8331246,60.5929843
657,Жизнь Март,56.8286256,60.5945413
