id,type,name,latitude,longitude
1889,bus_stop,Улица Шварца,56.7979966,60.6333927
1890,bus_stop,Широкий переулок,56.7842452,60.6519508
1891,bus_stop,Щорса,56.8109106,60.6226318
1892,bus_stop,Авиационная,56.804821,60.6258959
1893,bus_stop,Артиллерийский институт,56.7705275,60.6693991
1894,bus_stop,Архитектурная академия,56.8410191,60.6107623
1895,bus_stop,Бородина,56.7541087,60.7007715
1896,bus_stop,Гончарный,56.7835314,60.6526264
1897,bus_stop,ДК Химмаш,56.7531493,60.695983
1898,bus_stop,Дагестанская,56.7613937,60.7036109
1899,bus_stop,Димитрова,56.7467927,60.6887177
1900,bus_stop,Инженера Алиева,56.749022,60.6810244
1901,bus_stop,Инженерная,56.7568697,60.7077917
1902,bus_stop,Косарева,56.7496687,60.6927507
1903,bus_stop,Сандуновские бани,56.827976,60.6136255
1904,bus_stop,Музей Бажова,56.8181912,60.6131722
1905,bus_stop,Нижнеисетск,56.7533573,60.6764898
1906,bus_stop,Прониной,56.7730225,60.6679174
1907,bus_stop,Проспект Ленина,56.8378173,60.6118128
1908,bus_stop,Розы Люксембург,56.8345383,60.6121207
1909,bus_stop,Саввы Белых,56.8003214,60.6302073
1910,bus_stop,Садовая,56.7650755,60.6717282
1911,bus_stop,Самолётная,56.7916957,60.6436655
1912,bus_stop,ТРК Глобус,56.7868442,60.6482552
1913,bus_stop,Трамвайный парк,56.8145305,60.6145807
1914,bus_stop,Федерация профсоюзов,56.8314087,60.6132112
1915,bus_stop,Фрунзе,56.8137896,60.6215918
1916,bus_stop,Чапаева,56.8229773,60.6113764
1917,bus_stop,Улица Шварца,56.797297,60.6356315
1918,bus_stop,Щорса,56.8092953,60.623252
1919,bus_stop,Восточная автостанция,56.8424993,60.6320577
1920,bus_stop,Екатеринбург. Северный автовокзал,56.8575434,60.5980909
1921,bus_stop,"ТЦ ""Леруа Мерлен""",56.8020155,60.6484257
1922,bus_stop,УрФУ,56.843082,60.6463318
1923,bus_stop,Ж/Д Вокзал,56.8575202,60.6068142
1924,bus_stop,Краснолесье,56.7809634,60.5430322
1925,bus_stop,Учителей,56.8666103,60.6337341
1926,bus_stop,Азина,56.8542456,60.6046331
1927,bus_stop,улица Викулова,56.8303378,60.5446423
1928,bus_stop,улица Викулова,56.8310692,60.5459196
1929,bus_stop,улица Викулова,56.8311745,60.5441365
1930,bus_stop,Драмтеатр,56.8421525,60.5957425
1931,bus_stop,Ельцина,56.8450724,60.5884894
1932,bus_stop,Заводская,56.8306112,60.5533633
1933,bus_stop,Заводская,56.830765,60.5509831
1934,bus_stop,Институт связи,56.8296967,60.5722228
1935,tram_stop,улица Металлургов,56.8282925,60.5442678
1936,bus_stop,Парк Хаус,56.8619116,60.6325574
1937,bus_stop,Парфюмерная фабрика,56.8300971,60.6636708
1938,bus_stop,Пионерская,56.8592491,60.6206483
1939,bus_stop,Советская,56.8538571,60.6365728
1940,bus_stop,Токарей,56.8293334,60.5613295
1941,bus_stop,Токарей,56.8299641,60.5631124
1942,bus_stop,Токарей,56.8301301,60.5605188
1943,bus_stop,Токарей,56.8304693,60.5617413
1944,bus_stop,Управление дороги,56.8502985,60.5928557
1945,bus_stop,Уралобувь,56.8320339,60.6553373
1946,bus_stop,Учителей,56.8573304,60.6310183
1947,bus_stop,улица Блюхера,56.8518485,60.6402337
1948,bus_stop,Мира,56.8383281,60.652728
1949,bus_stop,Первомайская улица,56.8459565,60.6444388
1950,bus_stop,Советская,56.854704,60.6356948
1951,bus_stop,УрФУ,56.843664,60.6506404
1952,bus_stop,Уралобувь,56.8324544,60.6549555
1953,bus_stop,Учителей,56.8581355,60.6310883
1954,bus_stop,УрФУ,56.8440372,60.6500669
1955,bus_stop,Екатеринбург-Пассажирский,56.8597265,60.6039536
1956,bus_stop,Станция садоводства,56.7616415,60.6716964
1957,bus_stop,Станция садоводства,56.7621739,60.6719609
1958,bus_stop,Ботаническая,56.7923721,60.6167168
1959,bus_stop,Ботаническая,56.7919548,60.6162744
1960,bus_stop,Бульвар Малахова,56.7925115,60.6231546
1961,bus_stop,Бульвар Малахова,56.7925213,60.6210101
1962,bus_stop,"Гостиница ""Свердловск""",56.8561898,60.6056395
1963,bus_stop,Крестинского,56.7942839,60.634778
1964,bus_stop,Крестинского,56.7950241,60.6334829
1965,bus_stop,Родонитовая,56.7925651,60.6311876
1966,bus_stop,Родонитовая,56.7929156,60.6333177
1967,bus_stop,Тбилисский бульвар,56.7924655,60.627213
1968,bus_stop,Тбилисский бульвар,56.7924558,60.6286233
1969,bus_stop,Улица Шварца,56.7973121,60.6334351
1970,bus_stop,Кварцевая,56.7810842,60.6307627
1971,bus_stop,Кварцевая,56.7817193,60.6314672
1972,bus_stop,Межевая,56.7863979,60.6365589
1973,bus_stop,Павлодарская,56.7837403,60.6336326
1974,bus_stop,Павлодарская,56.7845169,60.6344864
1975,bus_stop,Самолётная,56.7898744,60.640317
1976,bus_stop,Южный проезд,56.7767501,60.6261809
1977,bus_stop,Полянка,56.7797809,60.5457726
1978,bus_stop,Полянка,56.7793406,60.5462881
1979,bus_stop,Горбольница № 6,56.8071161,60.543141
1980,bus_stop,Софьи Ковалевской,56.8467859,60.6553404
1981,bus_stop,Академическая,56.8517666,60.6577794
1982,bus_stop,Академическая,56.8517692,60.655661
1983,bus_stop,Студенческая,56.8504592,60.6615493
1984,bus_stop,Блюхера,56.8583925,60.6536748
1985,bus_stop,Боровая,56.8611352,60.6476227
1986,bus_stop,Данилы Зверева/Сулимова,56.8609335,60.651979
1987,bus_stop,Индустрии,56.9054961,60.6137181
1988,bus_stop,Калининская,56.8731772,60.6115565
1989,bus_stop,Менделеева,56.8618437,60.6380013
1990,bus_stop,Парк Хаус,56.8623279,60.6317294
1991,bus_stop,Первомайская,56.8480091,60.6624735
1992,bus_stop,Техническое училище,56.8686951,60.6118771
1993,bus_stop,1-й км,56.862942,60.6122959
1994,bus_stop,Данилы Зверева,56.8633256,60.6531535
1995,bus_stop,Данилы Зверева,56.8638628,60.653093
1996,bus_stop,7-я горбольница,56.8666495,60.6430376
1997,bus_stop,Институт связи,56.8288439,60.5696133
1998,bus_stop,Екатеринбург. Северный автовокзал,56.8578331,60.5984978
1999,bus_stop,ТЦ «Мега»,56.826044,60.500007
2000,bus_stop,ТЦ «Мега»,56.8262478,60.5003815
2001,bus_stop,Академическая,56.8512173,60.6558569
2002,bus_stop,Веер,56.9140902,60.6105522
2003,bus_stop,ДК Лаврова,56.8925565,60.6140098
2004,bus_stop,Индустрии,56.9057749,60.6134174
2005,bus_stop,Калининская,56.872292,60.6111347
2006,bus_stop,Ломоносова,56.9113268,60.6122822
2007,bus_stop,Метро Уралмаш,56.8864164,60.6137648
2008,bus_stop,Парк Хаус,56.8629821,60.6328055
2009,bus_stop,"ТК ""Современник""",56.8567466,60.6539937
2010,bus_stop,Софьи Ковалевской,56.8465989,60.6536612
2011,bus_stop,Техническое училище,56.8676909,60.6114073
2012,bus_stop,Фрезеровщиков,56.9000939,60.6141356
2013,bus_stop,1-й км,56.8624293,60.611903
2014,bus_stop,Посёлок Светлореченский,56.799622,60.4936653
2015,tram_stop,Академия при Президенте России,56.8224221,60.604934
2016,bus_stop,Переулок Рижский,56.7848489,60.6074533
2017,bus_stop,Автовокзал,56.8081201,60.6099106
2018,bus_stop,улица Большакова,56.8184237,60.6065554
2019,tram_stop,Улица Радищева,56.8307057,60.6002423
2020,tram_stop,Гурзуфская улица,56.8261387,60.5745061
2021,tram_stop,Юго-Западная,56.827176,60.5788888
2022,tram_stop,ВИЗ (Верх-Исетский завод),56.8391166,60.55535
2023,tram_stop,Улица Татищева,56.8362062,60.5474713
2024,tram_stop,улица Викулова,56.8308577,60.5449089
2025,tram_stop,улица Викулова,56.8313904,60.5449619
2026,tram_stop,Белореченская улица,56.823243,60.5712221
2027,tram_stop,Волгоградская улица,56.8127305,60.5585131
2028,tram_stop,Волгоградская улица,56.8130767,60.5582045
2029,tram_stop,Волгоградская улица,56.8133755,60.5578333
